20230710_200850  14.074 MHz  FT8 JTDX vNot for Release
20230710_204053  14.074 MHz  FT8 JTDX vNot for Release
20230710_204100  10  0.1  751 ~  DG1ABC DF0CON R+01
20230710_204100   1  0.2 2653 ~  LB3GE SV9CAF RR73
20230710_204100   4  0.2 1651 ~  M3STE DL3EBJ -02
20230710_204100  -5  0.7 2763 ~  LZ1PRT G8JYV IO83
20230710_204100   8  0.2  797 ~  LA1VNA HB9BJX R-07
20230710_204100   3 -0.4 1109 ~  PD1WNL F1OBJ R+11
20230710_204100   7  0.2  520 ~  PD1RP/P IK4ICS JN54
20230710_204100   8  0.2 1240 ~  PD1WNL 9A2KS JN65
20230710_204100  -5  0.2 1714 ~  YH7HC DH6BH JO33
20230710_204100  -1  0.2 2489 ~  <...> DC5TT JN49
20230710_204100  -6  0.2 2905 ~  OH0/SP9FOW <...> RR73
20230710_204100 -12 -0.3 1044 ~  CQ EU2Q KO34
20230710_204100  21  0.2 1908 ~  EA8VJ IW1PUR R-13
20230710_204100  -6  0.2  980 ~  CQ GW1OZW IO81
20230710_204100  -7  0.2 2970 ~  CQ RA1AGK KO49
20230710_204100   3  0.2 1974 ~  YH7OA LZ2VQ -19
20230710_204100  -1  1.5 1334 ~  CQ LZ1DPP KN32
20230710_204100   0  1.0 1520 ~  <OH0/SP9FOW> EA3FAB JN01
20230710_204100  -5  0.2 1414 ~  SV1GYN DL0IMO -15
20230710_204100 -12  0.6 2041 ~  MI5JYK RN3FS 73
20230710_204100 -10  0.1 2296 ~  SV1GYN RL2F -13
20230710_204100  -5  0.6 1436 ~  OM1AGE/P LZ2QW RR73
20230710_204100 -13  0.1 1269 ~  <...> MI0JLC IO64
20230710_204100  -8  0.4 2615 ~  PD1WNL DL3BH JN48
20230710_204100 -18  0.1  468 ~  M0RTP ZS6OB 73
20230710_204100   9  0.2 1887 ~  2E0LHF PD0WAG JO21
20230710_204100  -9  0.6 1329 ~  DL9GCW SV1JSS -10
20230710_204100 -10  0.4 1393 ~  LZ1PRT OK7MZ JN89
20230710_204130  12  0.2  797 ~  LA1VNA HB9BJX 73
20230710_204130   5  0.1 2143 ~  LZ1PRT IZ8PPI -02
20230710_204130   3  0.2 1651 ~  M3STE DL3EBJ -02
20230710_204130   7 -0.4 1109 ~  PD1WNL F1OBJ 73
20230710_204130  18 -0.4  407 ~  YH7OA DL2MIJ JN58
20230710_204130   0  0.2 2653 ~  CQ SV9CAF KM25
20230710_204130   7  0.2 1240 ~  PD1WNL 9A2KS JN65
20230710_204130   7  0.2  520 ~  PD1RP/P IK4ICS R+02
20230710_204130   2  1.2 1520 ~  <...> EA3FAB JN01
20230710_204130  -2  0.2  981 ~  CQ GW1OZW IO81
20230710_204130   0  0.2 2488 ~  <...> DC5TT JN49
20230710_204130  17  0.2 1907 ~  EA8VJ IW1PUR R-13
20230710_204130  -4  0.3 2970 ~  CQ RA1AGK KO49
20230710_204130  -3  0.2 2905 ~  OH0/SP9FOW <...> RR73
20230710_204130   0  0.2 1714 ~  YH7HC DH6BH R-19
20230710_204130   4  0.1  751 ~  DG1ABC DF0CON R+01
20230710_204130   4  0.1 1973 ~  YH7OA LZ2VQ -19
20230710_204130   0  1.5 1334 ~  CQ LZ1DPP KN32
20230710_204130  -2  0.8 1747 ~  EA3HFS SQ3LMR JO81
20230710_204130   5  0.1 1887 ~  2E0LHF PD0WAG JO21
20230710_204130  -7  0.6 1328 ~  DL9GCW SV1JSS -10
20230710_204130  -5  0.5  975 ~  EI7BR M0CFV IO91
